################################################################
# abuse.ch Feodo Tracker Botnet C2 IP Blocklist (CSV)          #
# Last updated: 2022-04-13 08:23:37 UTC                        #
#                                                              #
# Terms Of Use: https://feodotracker.abuse.ch/blocklist/       #
# For questions please contact feodotracker [at] abuse.ch      #
################################################################
#
"first_seen_utc","dst_ip","dst_port","c2_status","last_online","malware"
"2021-10-19 20:11:27","108.4.67.252","443","offline","2022-03-28","QakBot"
"2021-10-21 19:21:32","212.237.17.99","443","online","2022-04-14","Dridex"
"2021-10-22 18:22:30","207.246.112.221","995","online","2022-04-14","QakBot"
"2021-10-22 18:22:32","45.9.20.200","443","online","2022-04-14","QakBot"
"2021-10-22 18:22:33","207.246.112.221","443","online","2022-04-14","QakBot"
"2021-10-25 04:26:26","96.21.251.127","2222","online","2022-04-14","QakBot"
"2021-10-26 04:12:40","103.116.178.85","995","offline","2022-04-06","QakBot"
"2021-10-26 13:13:20","93.48.80.198","995","online","2022-04-14","QakBot"
"2021-10-26 16:03:21","117.248.109.38","21","online","2022-04-14","QakBot"
"2021-10-31 21:07:23","91.121.134.180","10172","online","2022-04-14","Dridex"
"2021-11-01 15:33:54","216.238.71.31","995","online","2022-04-14","QakBot"
"2021-11-01 15:33:54","216.238.71.31","443","online","2022-04-14","QakBot"
"2021-11-01 15:33:54","216.238.72.121","995","online","2022-04-14","QakBot"
"2021-11-01 15:33:54","216.238.72.121","443","online","2022-04-14","QakBot"
"2021-11-01 18:25:27","104.248.155.133","443","online","2022-04-14","Dridex"
"2021-11-02 16:44:01","103.74.143.53","443","online","2022-04-14","Dridex"
"2021-11-04 14:09:21","71.13.93.154","2222","online","2022-04-14","QakBot"
"2021-11-04 14:09:27","190.73.3.148","2222","online","2022-04-14","QakBot"
"2021-11-06 11:30:38","202.51.122.163","443","offline","2022-04-14","TrickBot"
"2021-11-09 18:42:32","95.110.160.239","9676","online","2022-04-14","Dridex"
"2021-11-09 18:42:32","198.61.167.176","10172","online","2022-04-14","Dridex"
"2021-11-15 19:24:59","185.148.169.10","8080","offline","2022-03-30","Emotet"
"2021-11-16 03:31:53","200.7.198.138","443","offline","2022-03-14","TrickBot"
"2021-11-16 12:57:48","93.188.167.97","443","online","2022-04-14","Emotet"
"2021-11-16 15:03:19","72.252.201.34","995","offline","2022-04-13","QakBot"
"2021-11-16 15:30:05","185.184.25.237","8080","online","2022-04-14","Emotet"
"2021-11-16 18:20:39","202.29.239.161","443","offline","2022-03-25","Emotet"
"2021-11-17 15:26:43","198.199.70.22","6602","online","2022-04-14","Dridex"
"2021-11-17 17:00:38","122.129.203.163","443","offline","2022-04-01","Emotet"
"2021-11-19 18:03:51","73.171.4.177","443","offline","2022-03-17","QakBot"
"2021-11-20 16:45:06","51.178.186.134","443","online","2022-04-14","Emotet"
"2021-11-20 16:45:06","51.91.142.158","80","online","2022-04-14","Emotet"
"2021-11-20 16:45:09","51.79.205.117","8080","online","2022-04-14","Emotet"
"2021-11-21 12:39:22","185.99.2.197","443","online","2022-04-14","TrickBot"
"2021-11-22 12:16:00","117.220.229.162","443","online","2022-04-14","TrickBot"
"2021-11-22 12:23:02","45.116.106.45","443","offline","2022-03-22","TrickBot"
"2021-11-22 13:15:53","110.172.137.20","443","online","2022-04-14","TrickBot"
"2021-11-22 14:13:46","144.91.110.219","9217","online","2022-04-14","Dridex"
"2021-11-22 14:13:47","67.207.95.35","443","online","2022-04-14","Dridex"
"2021-11-24 13:06:26","167.71.11.125","443","online","2022-04-14","BazarLoader"
"2021-11-24 14:23:43","107.170.4.227","443","offline","2022-03-18","Dridex"
"2021-11-25 17:22:21","117.54.140.98","443","online","2022-04-14","TrickBot"
"2021-11-29 14:18:51","51.68.138.110","443","offline","2022-04-05","Dridex"
"2021-11-29 14:18:52","103.109.247.10","10443","online","2022-04-14","Dridex"
"2021-11-30 16:35:09","128.199.192.135","8080","online","2022-04-14","Emotet"
"2021-11-30 16:40:05","46.55.222.11","443","online","2022-04-14","Emotet"
"2021-11-30 22:40:10","119.59.125.140","8080","offline","2022-04-08","Emotet"
"2021-12-01 15:52:18","81.223.127.86","10172","offline","2022-03-16","Dridex"
"2021-12-03 00:00:12","116.124.128.206","8080","online","2022-04-14","Emotet"
"2021-12-03 00:05:08","51.75.33.120","443","offline","2022-03-21","Emotet"
"2021-12-03 00:05:08","198.27.67.35","8080","online","2022-04-14","Emotet"
"2021-12-03 00:05:09","91.207.181.106","8080","online","2022-04-14","Emotet"
"2021-12-05 10:22:26","186.250.48.117","443","online","2022-04-14","Dridex"
"2021-12-06 03:22:22","129.232.146.250","443","online","2022-04-14","Dridex"
"2021-12-06 12:13:51","151.106.39.36","8116","offline","2022-04-05","Dridex"
"2021-12-07 16:20:08","176.31.163.17","8080","online","2022-04-14","Emotet"
"2021-12-07 16:20:11","131.100.24.199","8080","offline","2022-04-06","Emotet"
"2021-12-09 14:26:41","181.129.85.98","443","offline","2022-03-14","TrickBot"
"2021-12-09 14:26:42","189.112.119.205","443","offline","2022-03-14","TrickBot"
"2021-12-09 14:26:44","190.109.169.161","443","offline","2022-03-14","TrickBot"
"2021-12-09 14:26:46","181.196.148.202","443","offline","2022-03-15","TrickBot"
"2021-12-09 14:26:46","190.109.171.17","443","offline","2022-03-15","TrickBot"
"2021-12-09 14:26:48","187.108.32.133","443","offline","2022-03-15","TrickBot"
"2021-12-09 14:26:51","201.184.226.74","443","offline","2022-03-15","TrickBot"
"2021-12-09 14:46:37","186.159.5.177","443","offline","2022-03-15","TrickBot"
"2021-12-10 19:52:19","139.59.56.73","443","online","2022-04-14","Dridex"
"2021-12-13 17:13:52","104.36.167.47","443","offline","2022-03-22","Dridex"
"2021-12-14 21:36:14","1.234.65.61","8080","offline","2022-03-15","Emotet"
"2021-12-16 01:18:49","134.209.247.135","6602","online","2022-04-14","Dridex"
"2021-12-16 01:18:51","194.233.68.48","5228","online","2022-04-14","Dridex"
"2021-12-17 20:48:58","144.91.122.94","443","online","2022-04-14","Dridex"
"2021-12-17 20:48:59","167.99.141.108","4664","online","2022-04-14","Dridex"
"2021-12-17 20:48:59","37.59.74.180","593","online","2022-04-14","Dridex"
"2021-12-17 22:33:04","114.79.148.170","443","offline","2022-04-02","QakBot"
"2021-12-17 22:33:05","74.15.2.252","2222","online","2022-04-14","QakBot"
"2021-12-17 22:33:06","24.178.196.158","2222","online","2022-04-14","QakBot"
"2021-12-17 22:33:08","209.210.95.228","32100","offline","2022-03-14","QakBot"
"2021-12-17 22:33:08","67.209.195.198","443","offline","2022-04-10","QakBot"
"2021-12-17 22:33:11","76.169.147.192","32103","offline","2022-04-12","QakBot"
"2021-12-18 03:28:09","106.51.48.170","50001","offline","2022-04-02","QakBot"
"2021-12-18 04:08:16","182.191.92.203","995","online","2022-04-14","QakBot"
"2021-12-20 11:23:25","82.152.39.39","443","online","2022-04-14","QakBot"
"2021-12-20 13:33:20","40.134.247.125","995","offline","2022-03-17","QakBot"
"2021-12-20 14:33:55","144.91.122.100","443","online","2022-04-14","Dridex"
"2021-12-21 16:18:43","31.35.28.29","443","online","2022-04-14","QakBot"
"2021-12-22 15:34:14","103.139.242.30","990","offline","2022-03-28","QakBot"
"2021-12-23 21:31:07","51.38.71.0","443","online","2022-04-14","Emotet"
"2021-12-24 19:46:09","54.37.70.105","8080","online","2022-04-14","Emotet"
"2021-12-25 08:49:06","103.139.242.30","993","offline","2022-03-28","QakBot"
"2021-12-26 17:30:21","103.70.29.165","443","offline","2022-03-16","Dridex"
"2021-12-27 20:24:19","72.252.201.34","993","offline","2022-04-11","QakBot"
"2021-12-27 20:24:20","176.67.56.94","443","online","2022-04-14","QakBot"
"2021-12-27 20:24:23","180.233.150.134","995","offline","2022-03-29","QakBot"
"2021-12-29 04:32:12","103.116.178.85","443","offline","2022-03-28","QakBot"
"2021-12-29 10:47:40","91.121.146.47","10443","online","2022-04-14","Dridex"
"2021-12-31 03:47:39","103.9.36.172","443","online","2022-04-14","Dridex"
"2022-01-03 06:18:38","72.66.116.235","995","offline","2022-04-12","QakBot"
"2022-01-07 17:57:35","139.99.30.176","443","online","2022-04-14","Dridex"
"2022-01-11 10:30:09","131.100.24.231","80","online","2022-04-14","Emotet"
"2022-01-17 21:50:06","144.217.88.125","443","online","2022-04-14","Emotet"
"2022-01-25 16:17:32","190.206.211.182","443","offline","2022-03-25","QakBot"
"2022-01-25 17:20:08","85.25.120.45","8080","offline","2022-03-15","Emotet"
"2022-01-25 17:20:08","185.168.130.138","443","offline","2022-03-18","Emotet"
"2022-01-25 17:20:12","59.148.253.194","443","online","2022-04-14","Emotet"
"2022-01-25 17:20:13","203.153.216.46","443","offline","2022-04-13","Emotet"
"2022-01-26 02:27:48","73.59.201.174","443","offline","2022-03-20","QakBot"
"2022-01-27 14:42:23","72.252.201.34","990","offline","2022-04-13","QakBot"
"2022-01-27 19:15:19","74.63.218.139","443","online","2022-04-14","Emotet"
"2022-01-27 19:15:20","181.57.137.115","8080","offline","2022-04-14","Emotet"
"2022-01-27 19:15:20","62.141.45.103","443","online","2022-04-14","Emotet"
"2022-01-27 19:15:22","159.65.163.220","443","online","2022-04-14","Emotet"
"2022-01-27 19:15:23","128.199.93.156","8080","online","2022-04-14","Emotet"
"2022-01-28 16:05:13","198.199.98.78","8080","offline","2022-04-06","Emotet"
"2022-01-28 16:05:14","139.196.72.155","8080","online","2022-04-14","Emotet"
"2022-01-28 18:45:21","72.249.22.245","8080","offline","2022-03-30","Emotet"
"2022-01-31 14:30:29","138.197.64.211","8080","online","2022-04-14","Emotet"
"2022-01-31 14:30:31","177.39.156.177","443","online","2022-04-14","Emotet"
"2022-01-31 18:27:19","76.23.237.163","995","offline","2022-04-08","QakBot"
"2022-02-01 08:02:50","41.230.62.211","993","offline","2022-04-08","QakBot"
"2022-02-01 16:00:38","45.184.36.10","8080","offline","2022-03-30","Emotet"
"2022-02-01 18:35:35","103.75.201.4","443","offline","2022-03-24","Emotet"
"2022-02-02 13:57:55","89.86.33.217","443","offline","2022-04-13","QakBot"
"2022-02-02 16:11:14","103.82.248.59","7080","offline","2022-03-15","Emotet"
"2022-02-02 16:11:15","180.250.21.2","443","online","2022-04-14","Emotet"
"2022-02-02 16:30:42","142.93.76.76","7080","online","2022-04-14","Emotet"
"2022-02-02 16:30:43","43.229.206.214","8080","offline","2022-03-30","Emotet"
"2022-02-02 20:50:38","185.184.25.78","8080","online","2022-04-14","Emotet"
"2022-02-02 20:50:40","54.37.106.167","8080","online","2022-04-14","Emotet"
"2022-02-02 20:50:41","172.105.115.71","443","online","2022-04-14","Emotet"
"2022-02-04 17:30:44","45.79.173.200","443","offline","2022-03-23","Emotet"
"2022-02-04 22:11:15","54.36.98.59","7080","offline","2022-03-26","Emotet"
"2022-02-05 07:26:48","73.67.152.98","2222","offline","2022-04-14","QakBot"
"2022-02-08 05:53:12","92.177.45.46","2078","offline","2022-04-07","QakBot"
"2022-02-08 23:10:38","207.38.84.195","8080","offline","2022-03-22","Emotet"
"2022-02-14 17:23:13","37.211.176.26","61202","offline","2022-03-27","QakBot"
"2022-02-14 17:23:15","100.1.108.246","443","offline","2022-04-13","QakBot"
"2022-02-15 18:14:12","86.198.170.170","2222","offline","2022-03-20","QakBot"
"2022-02-16 14:14:24","217.128.122.65","2222","online","2022-04-14","QakBot"
"2022-02-16 14:54:29","75.99.168.194","61201","online","2022-04-14","QakBot"
"2022-02-16 14:54:30","47.180.172.159","443","online","2022-04-14","QakBot"
"2022-02-16 14:54:31","47.180.172.159","50010","online","2022-04-14","QakBot"
"2022-02-16 14:54:32","75.99.168.194","443","online","2022-04-14","QakBot"
"2022-02-16 14:54:33","206.217.0.154","995","offline","2022-03-23","QakBot"
"2022-02-16 16:34:43","208.107.221.224","443","offline","2022-04-14","QakBot"
"2022-02-16 22:04:54","189.146.51.56","443","offline","2022-03-30","QakBot"
"2022-02-17 14:35:00","173.174.216.62","443","online","2022-04-14","QakBot"
"2022-02-17 22:43:22","82.41.63.217","443","offline","2022-04-05","QakBot"
"2022-02-19 18:20:15","5.2.67.108","443","offline","2022-03-22","BazarLoader"
"2022-02-21 15:05:34","103.87.95.131","2222","offline","2022-03-23","QakBot"
"2022-02-21 15:05:35","144.202.2.175","995","online","2022-04-14","QakBot"
"2022-02-21 15:35:32","144.202.2.175","443","online","2022-04-14","QakBot"
"2022-02-21 23:40:50","50.30.40.196","8080","online","2022-04-14","Emotet"
"2022-02-22 03:55:39","124.41.193.166","443","offline","2022-03-22","QakBot"
"2022-02-22 17:16:47","190.189.33.6","32101","offline","2022-03-16","QakBot"
"2022-02-22 18:16:11","103.96.220.147","443","offline","2022-03-15","Emotet"
"2022-02-23 07:25:23","196.203.37.215","80","online","2022-04-14","QakBot"
"2022-02-23 18:55:48","159.65.253.201","8080","online","2022-04-14","Emotet"
"2022-02-23 18:55:51","150.95.20.209","8080","online","2022-04-14","Emotet"
"2022-02-23 18:55:52","103.44.138.22","443","online","2022-04-14","Emotet"
"2022-02-24 17:10:38","138.185.72.26","8080","offline","2022-03-27","Emotet"
"2022-02-24 19:51:18","68.183.62.61","8080","online","2022-04-14","Emotet"
"2022-02-25 17:42:50","5.252.177.62","443","offline","2022-03-16","BazarLoader"
"2022-02-25 19:31:24","47.158.25.67","443","offline","2022-04-12","QakBot"
"2022-02-25 23:04:56","70.57.207.83","443","offline","2022-04-05","QakBot"
"2022-02-25 23:40:49","136.243.32.168","443","online","2022-04-14","Emotet"
"2022-02-25 23:40:53","198.211.51.201","8080","offline","2022-03-14","Emotet"
"2022-02-27 03:34:15","103.230.180.119","443","offline","2022-04-07","QakBot"
"2022-02-28 15:14:35","76.70.9.169","2222","offline","2022-04-13","QakBot"
"2022-02-28 15:14:40","76.69.155.202","2222","offline","2022-04-14","QakBot"
"2022-02-28 15:14:44","216.46.32.83","443","offline","2022-03-21","QakBot"
"2022-02-28 15:14:46","208.101.87.135","443","offline","2022-03-17","QakBot"
"2022-02-28 15:54:16","47.156.191.217","443","offline","2022-04-13","QakBot"
"2022-02-28 18:44:16","121.74.187.191","995","offline","2022-03-20","QakBot"
"2022-02-28 22:24:37","58.105.167.35","50000","offline","2022-03-19","QakBot"
"2022-03-01 14:15:04","63.153.150.20","443","offline","2022-03-14","QakBot"
"2022-03-01 14:15:07","80.11.74.81","2222","online","2022-04-14","QakBot"
"2022-03-01 14:15:08","176.88.238.122","995","offline","2022-04-12","QakBot"
"2022-03-01 14:15:11","24.55.67.176","443","offline","2022-04-13","QakBot"
"2022-03-01 15:35:50","168.119.39.118","443","offline","2022-03-26","Emotet"
"2022-03-01 16:30:52","147.139.134.226","443","offline","2022-03-28","Emotet"
"2022-03-01 22:44:17","191.99.191.28","443","offline","2022-04-13","QakBot"
"2022-03-02 04:24:20","111.125.245.118","995","offline","2022-04-13","QakBot"
"2022-03-02 14:35:35","91.177.173.10","995","online","2022-04-14","QakBot"
"2022-03-02 14:55:33","92.99.229.158","2222","offline","2022-03-21","QakBot"
"2022-03-02 14:55:38","47.156.131.10","443","offline","2022-03-31","QakBot"
"2022-03-02 17:32:19","72.12.115.90","22","offline","2022-04-11","QakBot"
"2022-03-02 17:50:15","209.126.98.206","8080","online","2022-04-14","Emotet"
"2022-03-03 06:05:22","183.82.103.213","443","offline","2022-03-25","QakBot"
"2022-03-03 07:25:40","5.95.58.211","2087","online","2022-04-14","QakBot"
"2022-03-03 08:25:18","51.254.140.238","7080","online","2022-04-14","Emotet"
"2022-03-03 08:35:18","103.75.201.2","443","online","2022-04-14","Emotet"
"2022-03-03 15:06:01","172.114.160.81","995","online","2022-04-14","QakBot"
"2022-03-03 15:06:11","86.195.158.178","2222","online","2022-04-14","QakBot"
"2022-03-03 18:06:08","70.46.220.114","443","online","2022-04-14","QakBot"
"2022-03-03 19:40:37","186.250.48.117","7080","offline","2022-03-14","Emotet"
"2022-03-04 07:25:16","177.87.70.10","8080","offline","2022-03-14","Emotet"
"2022-03-04 07:30:42","176.56.128.118","443","online","2022-04-14","Emotet"
"2022-03-04 09:40:19","203.114.109.124","443","online","2022-04-14","Emotet"
"2022-03-07 01:26:16","175.145.235.37","443","offline","2022-04-14","QakBot"
"2022-03-08 03:06:47","75.159.9.236","443","offline","2022-03-24","QakBot"
"2022-03-08 03:06:49","186.10.247.110","443","offline","2022-03-22","QakBot"
"2022-03-08 03:06:51","217.165.79.31","443","offline","2022-03-21","QakBot"
"2022-03-08 03:06:52","207.170.238.231","443","offline","2022-04-06","QakBot"
"2022-03-08 03:06:52","24.43.99.75","443","online","2022-04-14","QakBot"
"2022-03-08 03:06:54","217.165.79.31","995","offline","2022-03-21","QakBot"
"2022-03-08 03:06:54","69.159.200.138","2222","offline","2022-03-24","QakBot"
"2022-03-08 03:06:56","119.158.105.8","995","offline","2022-03-16","QakBot"
"2022-03-08 15:05:45","217.182.143.248","8080","offline","2022-03-15","Emotet"
"2022-03-08 15:05:45","146.59.226.45","443","online","2022-04-14","Emotet"
"2022-03-08 15:05:45","185.4.135.27","8080","offline","2022-03-15","Emotet"
"2022-03-08 15:05:46","192.99.251.50","443","offline","2022-04-08","Emotet"
"2022-03-08 15:06:27","187.170.7.81","443","offline","2022-03-15","QakBot"
"2022-03-08 15:26:49","189.253.32.61","995","offline","2022-03-17","QakBot"
"2022-03-08 17:06:48","176.253.27.51","443","offline","2022-03-16","QakBot"
"2022-03-08 18:35:48","217.79.180.211","8080","online","2022-04-14","Emotet"
"2022-03-08 18:35:48","51.210.176.76","443","offline","2022-04-14","Emotet"
"2022-03-08 18:35:52","24.152.37.138","443","offline","2022-03-30","Emotet"
"2022-03-09 17:17:04","45.63.1.12","443","online","2022-04-14","QakBot"
"2022-03-09 17:17:04","149.28.238.199","443","online","2022-04-14","QakBot"
"2022-03-09 17:17:04","45.76.167.26","443","online","2022-04-14","QakBot"
"2022-03-09 17:17:04","144.202.3.39","443","online","2022-04-14","QakBot"
"2022-03-09 17:17:04","144.202.3.39","995","online","2022-04-14","QakBot"
"2022-03-09 17:17:04","149.28.238.199","995","online","2022-04-14","QakBot"
"2022-03-09 17:17:04","45.63.1.12","995","online","2022-04-14","QakBot"
"2022-03-09 17:17:05","45.76.167.26","995","online","2022-04-14","QakBot"
"2022-03-09 17:17:05","140.82.63.183","443","online","2022-04-14","QakBot"
"2022-03-09 17:17:05","140.82.63.183","995","online","2022-04-14","QakBot"
"2022-03-09 17:17:11","78.100.194.196","6883","offline","2022-03-17","QakBot"
"2022-03-09 17:17:12","72.76.94.99","443","online","2022-04-14","QakBot"
"2022-03-09 17:17:15","201.170.181.247","443","offline","2022-03-25","QakBot"
"2022-03-11 04:57:38","5.32.41.45","443","offline","2022-04-12","QakBot"
"2022-03-11 08:42:12","41.205.12.24","443","offline","2022-03-15","QakBot"
"2022-03-11 14:17:47","187.199.203.159","443","offline","2022-03-19","QakBot"
"2022-03-11 14:17:47","177.207.67.234","993","offline","2022-03-14","QakBot"
"2022-03-11 14:17:47","90.74.16.2","6881","offline","2022-03-15","QakBot"
"2022-03-11 14:17:51","32.221.225.247","995","offline","2022-03-30","QakBot"
"2022-03-11 14:17:51","102.184.187.50","995","offline","2022-03-15","QakBot"
"2022-03-11 14:17:51","108.60.213.141","443","online","2022-04-14","QakBot"
"2022-03-11 14:17:53","105.186.127.127","995","offline","2022-03-31","QakBot"
"2022-03-11 14:17:54","177.207.67.234","995","offline","2022-03-14","QakBot"
"2022-03-11 15:07:46","86.184.85.199","443","offline","2022-03-18","QakBot"
"2022-03-11 16:07:48","201.145.160.158","443","offline","2022-03-18","QakBot"
"2022-03-14 08:55:45","151.106.39.36","8080","offline","2022-04-05","Emotet"
"2022-03-14 08:55:45","167.86.122.137","443","offline","2022-03-14","Emotet"
"2022-03-14 08:55:47","172.104.22.23","8080","online","2022-04-14","Emotet"
"2022-03-14 09:11:45","82.165.145.100","8080","offline","2022-04-04","Emotet"
"2022-03-14 09:11:53","80.241.218.90","8080","offline","2022-04-08","Emotet"
